period,flow,sector,partnerDesc,trade_value_usd,quantity_mt
2019,Export,iron_steel_72,AD,4460987.0,7543.961
2019,Export,iron_steel_72,AF,455489.0,1203.657
2019,Export,iron_steel_72,AG,122969.0,159.34300000000002
2019,Export,iron_steel_72,AO,27557542.0,23671.444000000003
2019,Export,iron_steel_72,AQ,10877.0,6.6370000000000005
2019,Export,iron_steel_72,AW,1012795.0,1471.8540000000003
2019,Export,iron_steel_72,Albania,45600777.0,86831.83200000001
2019,Export,iron_steel_72,Algeria,599815922.0,1217688.1670000001
2019,Export,iron_steel_72,Argentina,47940590.0,60124.784
2019,Export,iron_steel_72,Armenia,317766.0,196.198
2019,Export,iron_steel_72,Australia,106870266.0,143453.841
2019,Export,iron_steel_72,Azerbaijan,37631447.0,50124.654
2019,Export,iron_steel_72,BB,3273057.0,6467.294000000001
2019,Export,iron_steel_72,BF,3384155.0,5585.152
2019,Export,iron_steel_72,BI,7467.0,2.25
2019,Export,iron_steel_72,BJ,985478.0,1483.507
2019,Export,iron_steel_72,BL,124075.0,168.05400000000003
2019,Export,iron_steel_72,BM,157454.0,52.36000000000001
2019,Export,iron_steel_72,BN,988930.0,109.33699999999999
2019,Export,iron_steel_72,BO,1854190.0,1142.104
2019,Export,iron_steel_72,BQ,424081.0,739.255
2019,Export,iron_steel_72,BS,545406.0,299.01400000000007
2019,Export,iron_steel_72,BT,854.0,0.06899999999999999
2019,Export,iron_steel_72,BW,3469.0,1.247
2019,Export,iron_steel_72,BZ,331671.0,411.81600000000003
2019,Export,iron_steel_72,Bahrain,2619772.0,2979.242
2019,Export,iron_steel_72,Bangladesh,106356853.0,252860.663
2019,Export,iron_steel_72,Belarus,32291358.0,32258.571000000004
2019,Export,iron_steel_72,Bosnia and Herzegovina,110286405.0,165177.491
2019,Export,iron_steel_72,Brazil,178926910.0,164571.589
2019,Export,iron_steel_72,CD,1169699.0,1286.2690000000002
2019,Export,iron_steel_72,CF,359623.0,402.059
2019,Export,iron_steel_72,CG,1312621.0,1422.226
2019,Export,iron_steel_72,CI,16748861.0,15242.778
2019,Export,iron_steel_72,CM,5402684.0,4540.473000000001
2019,Export,iron_steel_72,CR,12240635.0,7670.438000000001
2019,Export,iron_steel_72,CU,35369896.0,37650.036
2019,Export,iron_steel_72,CV,11637847.0,20746.516000000003
2019,Export,iron_steel_72,CW,3043329.0,4696.764
2019,Export,iron_steel_72,Canada,362538464.0,496896.418
2019,Export,iron_steel_72,Chile,51332389.0,70101.65000000001
2019,Export,iron_steel_72,China,636139900.0,1177055.524
2019,Export,iron_steel_72,Colombia,72267485.0,118519.90600000002
2019,Export,iron_steel_72,DJ,2099449.0,4895.152
2019,Export,iron_steel_72,DO,29828839.0,45522.616
2019,Export,iron_steel_72,EC,60232398.0,78975.099
2019,Export,iron_steel_72,ER,33319.0,25.0
2019,Export,iron_steel_72,ET,5867327.0,8486.928
2019,Export,iron_steel_72,Egypt,384444005.0,1711489.786
2019,Export,iron_steel_72,FJ,19750.0,5.07
2019,Export,iron_steel_72,FO,1500561.0,1519.5320000000002
2019,Export,iron_steel_72,GA,1971887.0,2487.776
2019,Export,iron_steel_72,GD,150.0,0.011000000000000001
2019,Export,iron_steel_72,GH,16650517.0,18201.703
2019,Export,iron_steel_72,GI,1549780.0,2028.8540000000003
2019,Export,iron_steel_72,GL,3819566.0,2596.543
