period,flow,sector,partnerDesc,primaryValue,quantity_100kg
2019,Export,iron_steel_72,AD,4460987.0,75439.61
2019,Export,iron_steel_72,AF,455489.0,12036.57
2019,Export,iron_steel_72,AG,122969.0,1593.43
2019,Export,iron_steel_72,AO,27557542.0,236714.44
2019,Export,iron_steel_72,AQ,10877.0,66.37
2019,Export,iron_steel_72,AW,1012795.0,14718.54
2019,Export,iron_steel_72,Albania,45600777.0,868318.3200000001
2019,Export,iron_steel_72,Algeria,599815922.0,12176881.67
2019,Export,iron_steel_72,Argentina,47940590.0,601247.84
2019,Export,iron_steel_72,Armenia,317766.0,1961.98
2019,Export,iron_steel_72,Australia,106870266.0,1434538.4100000001
2019,Export,iron_steel_72,Azerbaijan,37631447.0,501246.54
2019,Export,iron_steel_72,BB,3273057.0,64672.94
2019,Export,iron_steel_72,BF,3384155.0,55851.520000000004
2019,Export,iron_steel_72,BI,7467.0,22.5
2019,Export,iron_steel_72,BJ,985478.0,14835.07
2019,Export,iron_steel_72,BL,124075.0,1680.5400000000002
2019,Export,iron_steel_72,BM,157454.0,523.6
2019,Export,iron_steel_72,BN,988930.0,1093.37
2019,Export,iron_steel_72,BO,1854190.0,11421.04
2019,Export,iron_steel_72,BQ,424081.0,7392.549999999999
2019,Export,iron_steel_72,BS,545406.0,2990.1400000000003
2019,Export,iron_steel_72,BT,854.0,0.69
2019,Export,iron_steel_72,BW,3469.0,12.47
2019,Export,iron_steel_72,BZ,331671.0,4118.16
2019,Export,iron_steel_72,Bahrain,2619772.0,29792.420000000002
2019,Export,iron_steel_72,Bangladesh,106356853.0,2528606.63
2019,Export,iron_steel_72,Belarus,32291358.0,322585.71
2019,Export,iron_steel_72,Bosnia and Herzegovina,110286405.0,1651774.91
2019,Export,iron_steel_72,Brazil,178926910.0,1645715.89
2019,Export,iron_steel_72,CD,1169699.0,12862.69
2019,Export,iron_steel_72,CF,359623.0,4020.59
2019,Export,iron_steel_72,CG,1312621.0,14222.26
2019,Export,iron_steel_72,CI,16748861.0,152427.78
2019,Export,iron_steel_72,CM,5402684.0,45404.73
2019,Export,iron_steel_72,CR,12240635.0,76704.38
2019,Export,iron_steel_72,CU,35369896.0,376500.36
2019,Export,iron_steel_72,CV,11637847.0,207465.16
2019,Export,iron_steel_72,CW,3043329.0,46967.64
2019,Export,iron_steel_72,Canada,362538464.0,4968964.18
2019,Export,iron_steel_72,Chile,51332389.0,701016.5
2019,Export,iron_steel_72,China,636139900.0,11770555.24
2019,Export,iron_steel_72,Colombia,72267485.0,1185199.06
2019,Export,iron_steel_72,DJ,2099449.0,48951.520000000004
2019,Export,iron_steel_72,DO,29828839.0,455226.16000000003
2019,Export,iron_steel_72,EC,60232398.0,789750.99
2019,Export,iron_steel_72,ER,33319.0,250.0
2019,Export,iron_steel_72,ET,5867327.0,84869.28
2019,Export,iron_steel_72,Egypt,384444005.0,17114897.86
2019,Export,iron_steel_72,FJ,19750.0,50.7
2019,Export,iron_steel_72,FO,1500561.0,15195.320000000002
2019,Export,iron_steel_72,GA,1971887.0,24877.760000000002
2019,Export,iron_steel_72,GD,150.0,0.11
2019,Export,iron_steel_72,GH,16650517.0,182017.03
2019,Export,iron_steel_72,GI,1549780.0,20288.54
2019,Export,iron_steel_72,GL,3819566.0,25965.43
2019,Export,iron_steel_72,GM,163567.0,2714.7599999999998
