period,flow,sector,hs6,primaryValue,quantity_kg
2019,Export,aluminum_76,760110,1164357,191760
2019,Export,aluminum_76,760120,37677225,11347324
2019,Export,aluminum_76,760310,6945950,1110531
2019,Export,aluminum_76,760320,142912,15157
2019,Export,aluminum_76,760410,2579664,156008
2019,Export,aluminum_76,760421,2090964,223865
2019,Export,aluminum_76,760429,35547218,3164207
2019,Export,aluminum_76,760511,9350,2507
2019,Export,aluminum_76,760519,2787064,528749
2019,Export,aluminum_76,760521,9231252,5397
2019,Export,aluminum_76,760529,8565034,1680151
2019,Export,aluminum_76,760611,4635297,490192
2019,Export,aluminum_76,760612,154189098,14858694
2019,Export,aluminum_76,760691,788121,145091
2019,Export,aluminum_76,760692,1487075,93301
2019,Export,aluminum_76,760711,8114014,1611707
2019,Export,aluminum_76,760719,6055159,178144
2019,Export,aluminum_76,760720,18338366,1475512
2019,Export,aluminum_76,760810,319362,34152
2019,Export,aluminum_76,760820,9174968,1489349
2019,Export,aluminum_76,760900,11690614,766600
2019,Export,aluminum_76,761010,4374926,365606
2019,Export,aluminum_76,761100,559417,107776
2019,Export,aluminum_76,761210,780226,37862
2019,Export,aluminum_76,761290,19200779,2692885
2019,Export,aluminum_76,761300,22277436,569087
2019,Export,aluminum_76,761410,55758,5909
2019,Export,aluminum_76,761490,535636,30586
2019,Export,aluminum_76,761610,22583417,402083
2019,Export,aluminum_76,761691,2459144,281495
2019,Export,aluminum_76,761699,186443472,7751323
2019,Export,cement_2523,250700,122356025,421682774
2019,Export,cement_2523,252310,167744,335151
2019,Export,cement_2523,252321,158818,238373
2019,Export,cement_2523,252329,196371,274004
2019,Export,cement_2523,252330,154276,186081
2019,Export,cement_2523,252390,683097,1548557
2019,Export,fertilizers,280800,543920,179778
2019,Export,fertilizers,281410,4720053,16136198
2019,Export,fertilizers,281420,4332609,2542472
2019,Export,fertilizers,283421,237887,72155
2019,Export,fertilizers,310210,6509180,9342877
2019,Export,fertilizers,310221,1924678,1913682
2019,Export,fertilizers,310230,7798,1000
2019,Export,fertilizers,310250,28440,11457
2019,Export,fertilizers,310260,13835,23000
2019,Export,fertilizers,310280,29905833,222040109
2019,Export,fertilizers,310290,1177335,334611
2019,Export,fertilizers,310510,2510249,507776
2019,Export,fertilizers,310520,6636135,10841630
2019,Export,fertilizers,310530,66908,48000
2019,Export,fertilizers,310540,79047,17173
2019,Export,fertilizers,310551,26411,13040
2019,Export,fertilizers,310559,527709,262118
2019,Export,fertilizers,310590,11837837,2281565
2019,Export,hydrogen_2804,280410,2615,32
2019,Export,iron_steel_72,260112,2901700,83933673
2019,Export,iron_steel_72,720110,67973,82498
2019,Export,iron_steel_72,720120,5091,53244
2019,Export,iron_steel_72,720150,22959,28308
2019,Export,iron_steel_72,720241,152049,215828
2019,Export,iron_steel_72,720260,8363,348
2019,Export,iron_steel_72,720310,1387340,42000000
2019,Export,iron_steel_72,720390,129324366,352051978
2019,Export,iron_steel_72,720510,3562677,587594
2019,Export,iron_steel_72,720521,38416129,6892640
2019,Export,iron_steel_72,720529,17961443,14949772
2019,Export,iron_steel_72,720610,112230,136273
2019,Export,iron_steel_72,720810,976507,1328330
2019,Export,iron_steel_72,720825,49928,15397
2019,Export,iron_steel_72,720826,8982,2319
2019,Export,iron_steel_72,720827,62426,55801
2019,Export,iron_steel_72,720836,45648,57413
2019,Export,iron_steel_72,720837,20083,57379
2019,Export,iron_steel_72,720838,34400,13642
2019,Export,iron_steel_72,720839,71521,115706
2019,Export,iron_steel_72,720840,7314,6531
2019,Export,iron_steel_72,720851,559779,534176
2019,Export,iron_steel_72,720852,282988,184997
2019,Export,iron_steel_72,720853,5582,1068
2019,Export,iron_steel_72,720854,29859,45475
2019,Export,iron_steel_72,720890,986921,93091
2019,Export,iron_steel_72,720915,285626,364964
2019,Export,iron_steel_72,720916,1160823,1455104
2019,Export,iron_steel_72,720917,768990,604645
2019,Export,iron_steel_72,720918,236553,88059
2019,Export,iron_steel_72,720925,9392,12880
2019,Export,iron_steel_72,720927,32555,15576
2019,Export,iron_steel_72,720928,3900,6053
2019,Export,iron_steel_72,720990,37068,14214
2019,Export,iron_steel_72,721011,14732,11655
2019,Export,iron_steel_72,721012,896810,1518422
2019,Export,iron_steel_72,721020,2398702,305673
2019,Export,iron_steel_72,721030,652632,546034
2019,Export,iron_steel_72,721041,62360,54663
2019,Export,iron_steel_72,721049,3271790,3443890
2019,Export,iron_steel_72,721050,3117081,3511605
2019,Export,iron_steel_72,721061,549521,513509
2019,Export,iron_steel_72,721069,59080,30071
2019,Export,iron_steel_72,721070,311681,120946
2019,Export,iron_steel_72,721090,809377,209064
2019,Export,iron_steel_72,721113,8907,4569
2019,Export,iron_steel_72,721210,76262,38526
2019,Export,iron_steel_72,721220,32117,21488
2019,Export,iron_steel_72,721230,344921,155967
2019,Export,iron_steel_72,721240,1168111,470205
2019,Export,iron_steel_72,721250,18739669,5142423
2019,Export,iron_steel_72,721260,3335919,753866
2019,Export,iron_steel_72,721310,147758,207152
2019,Export,iron_steel_72,721320,196479,13028
2019,Export,iron_steel_72,721391,173915,32855
2019,Export,iron_steel_72,721399,53637,40097
2019,Export,iron_steel_72,721420,17932,16931
2019,Export,iron_steel_72,721510,157619,146720
2019,Export,iron_steel_72,721550,370401,186597
2019,Export,iron_steel_72,721590,1254771,391539
2019,Export,iron_steel_72,721610,10533,7412
2019,Export,iron_steel_72,721621,53976,47554
2019,Export,iron_steel_72,721622,30593,48200
2019,Export,iron_steel_72,721631,259519,184828
2019,Export,iron_steel_72,721632,227015,491249
2019,Export,iron_steel_72,721633,151888,114192
2019,Export,iron_steel_72,721640,150876,88319
2019,Export,iron_steel_72,721650,13530,18021
2019,Export,iron_steel_72,721661,3038,2820
2019,Export,iron_steel_72,721669,33349,32623
2019,Export,iron_steel_72,721691,815438,726843
2019,Export,iron_steel_72,721699,341747,140759
2019,Export,iron_steel_72,721710,3696547,1504757
2019,Export,iron_steel_72,721720,87352,38624
2019,Export,iron_steel_72,721810,10789727,188846
2019,Export,iron_steel_72,721911,421306,32886
2019,Export,iron_steel_72,721931,178898,39438
2019,Export,iron_steel_72,722100,1850301,133163
2019,Export,iron_steel_72,722300,20967147,263550
2019,Export,iron_steel_72,722410,8103392,1129518
2019,Export,iron_steel_72,722511,27416403,12266412
2019,Export,iron_steel_72,722530,231300,84850
2019,Export,iron_steel_72,722550,773728,631045
2019,Export,iron_steel_73,730110,814770,23928
2019,Export,iron_steel_73,730120,6858888,1436356
2019,Export,iron_steel_73,730210,1141022,539488
2019,Export,iron_steel_73,730230,289844,77450
2019,Export,iron_steel_73,730290,226046,57185
2019,Export,iron_steel_73,730300,797856,97510
2019,Export,iron_steel_73,730419,2218273,721252
2019,Export,iron_steel_73,730439,1347927,531172
2019,Export,iron_steel_73,730511,98071,31035
2019,Export,iron_steel_73,730519,152104,79216
2019,Export,iron_steel_73,730520,209150,41356
2019,Export,iron_steel_73,730531,92571,10619
2019,Export,iron_steel_73,730539,180169,52431
2019,Export,iron_steel_73,730590,401329,33474
2019,Export,iron_steel_73,730619,90217,11001
2019,Export,iron_steel_73,730630,7198947,2206826
2019,Export,iron_steel_73,730721,15542297,329114
2019,Export,iron_steel_73,730791,4750431,326937
2019,Export,iron_steel_73,730810,11674122,1914289
2019,Export,iron_steel_73,730820,2994416,720718
2019,Export,iron_steel_73,730830,2582796,191503
2019,Export,iron_steel_73,730840,8362053,2096365
2019,Export,iron_steel_73,730890,21869190,4309100
2019,Export,iron_steel_73,730900,21083696,4063314
2019,Export,iron_steel_73,731010,10861754,2536422
2019,Export,iron_steel_73,731021,1395832,37690
2019,Export,iron_steel_73,731029,12170333,3970508
2019,Export,iron_steel_73,731100,87748916,5058902
2019,Export,iron_steel_73,731815,141135209,8092768
2019,Export,iron_steel_73,731816,101002709,2503684
2019,Export,iron_steel_73,731822,25467660,2613024
2019,Export,iron_steel_73,731823,13031110,500055
2019,Export,iron_steel_73,732690,356882704,40798883
2019,Import,aluminum_76,760110,5285403,530498
2019,Import,aluminum_76,760120,50575130,8008980
2019,Import,aluminum_76,760310,11124119,2048634
2019,Import,aluminum_76,760320,6963146,374567
2019,Import,aluminum_76,760410,5779741,742568
2019,Import,aluminum_76,760421,44534183,6602183
2019,Import,aluminum_76,760429,79720690,12380776
2019,Import,aluminum_76,760511,278942,52480
2019,Import,aluminum_76,760519,2973430,802508
2019,Import,aluminum_76,760521,13711113,3942583
2019,Import,aluminum_76,760529,1465999,276307
2019,Import,aluminum_76,760611,33371902,7726502
2019,Import,aluminum_76,760612,994159202,291277414
2019,Import,aluminum_76,760691,29293050,7989021
2019,Import,aluminum_76,760692,43089037,11264963
2019,Import,aluminum_76,760711,197483591,53806072
2019,Import,aluminum_76,760719,42951124,4063529
2019,Import,aluminum_76,760720,114034265,13682361
2019,Import,aluminum_76,760810,880264,24415
2019,Import,aluminum_76,760820,32017220,3113237
2019,Import,aluminum_76,760900,10696811,424362
2019,Import,aluminum_76,761010,93691253,10732643
2019,Import,aluminum_76,761100,1648083,96247
2019,Import,aluminum_76,761210,8963628,670539
2019,Import,aluminum_76,761290,56912239,4942376
2019,Import,aluminum_76,761300,3174560,408379
2019,Import,aluminum_76,761410,17856,653
2019,Import,aluminum_76,761490,3717941,732726
2019,Import,aluminum_76,761610,21716358,694649
