period,flow,sector,partnerDesc,primaryValue,quantity_kg
2019,Export,aluminum_76,Afghanistan,1303998,30473
2019,Export,aluminum_76,Albania,214344,65556
2019,Export,aluminum_76,Algeria,712387,88201
2019,Export,aluminum_76,Angola,520925,27416
2019,Export,aluminum_76,Anguilla,731854,83377
2019,Export,aluminum_76,Antigua And Barbuda,2118457,300188
2019,Export,aluminum_76,Argentina,8164653,720421
2019,Export,aluminum_76,Aruba,2653480,501067
2019,Export,aluminum_76,Australia,64078156,6601689
2019,Export,aluminum_76,Austria,12637287,842243
2019,Export,aluminum_76,Azerbaijan,256063,7003
2019,Export,aluminum_76,Bahamas,29557802,4233762
2019,Export,aluminum_76,Bahrain,984338,174979
2019,Export,aluminum_76,Bangladesh,638725,35184
2019,Export,aluminum_76,Barbados,4863501,780768
2019,Export,aluminum_76,Belarus,60350,1676
2019,Export,aluminum_76,Belgium,33067065,3585680
2019,Export,aluminum_76,Belize,2682456,411839
2019,Export,aluminum_76,Bermuda,4065994,372284
2019,Export,aluminum_76,Bhutan,37358,4988
2019,Export,aluminum_76,Bolivia,981634,66380
2019,Export,aluminum_76,Bosnia And Herzegovina,15335,1757
2019,Export,aluminum_76,Brazil,80735467,10002171
2019,Export,aluminum_76,British Indian Ocean Territories,114221,30510
2019,Export,aluminum_76,British Virgin Islands,6839758,833909
2019,Export,aluminum_76,Brunei,83920,4318
2019,Export,aluminum_76,Bulgaria,213510,21010
2019,Export,aluminum_76,Burkina Faso,171074,19008
2019,Export,aluminum_76,Burma,4583,124
2019,Export,aluminum_76,Cabo Verde,49243,4766
2019,Export,aluminum_76,Cacm,48999972,8875678
2019,Export,aluminum_76,Cambodia,517194,100697
2019,Export,aluminum_76,Cameroon,133425,16740
2019,Export,aluminum_76,Canada,2527399336,2053846
2019,Export,aluminum_76,Cayman Islands,13112188,1255640
2019,Export,aluminum_76,Central African Republic,2600,102
2019,Export,aluminum_76,Chad,271891,32524
2019,Export,aluminum_76,Chile,12888327,1167841
